year,S_foot,C_foot,S_base,C_base
2000,0.455,0.273,0.73,0.49
2001,0.75,0.091,0.741,0.6
2002,0.182,0.583,0.746,0.519
2003,0.364,0.571,0.746,0.509
2004,0.364,0.833,0.774,0.446
2005,0.5,0.667,0.583,0.596
2006,0.083,0.769,0.557,0.482
2007,0.333,0.538,0.509,0.527
2008,0.417,0.692,0.629,0.618
2009,0.615,0.615,0.545,0.453
2010,0.923,0.417,0.554,0.537
2011,0.917,0.538,0.614,0.623
2012,0.909,0.25,0.695,0.528
2013,0.786,0.083,0.593,0.426
2014,0.615,0.417,0.574,0.491
2015,0.857,0.615,0.429,0.632
2016,0.769,0.417,0.574,0.604
2017,0.643,0.417,0.724,0.463
